         ns       /testbench/out    
          delta                     
     895290  +2            12778 
     897690  +2            12085 
     900090  +2            11458 
     902490  +2            10902 
     904890  +2            10412 
     907290  +2             9973 
     909690  +2             9559 
     912090  +2             9138 
     914490  +2             8679 
     916890  +2             8160 
     919290  +2             7569 
     921690  +2             6905 
     924090  +2             6178 
     926490  +2             5406 
     928890  +2             4609 
     931290  +2             3806 
     933690  +2             3012 
     936090  +2             2237 
     938490  +2             1489 
     940890  +2              772 
     943290  +2               87 
     945690  +2             -564 
     948090  +2            -1182 
     950490  +2            -1772 
     952890  +2            -2338 
     955290  +2            -2888 
     957690  +2            -3433 
     960090  +2            -3985 
     962490  +2            -4554 
     964890  +2            -5150 
     967290  +2            -5781 
     969690  +2            -6450 
     972090  +2            -7156 
     974490  +2            -7894 
     976890  +2            -8651 
     979290  +2            -9411 
     981690  +2           -10156 
     984090  +2           -10867 
     986490  +2           -11531 
     988890  +2           -12143 
     991290  +2           -12707 
     993690  +2           -13238 
     996090  +2           -13759 
     998490  +2           -14295 
    1000890  +2           -14866 
    1003290  +2           -15483 
    1005690  +2           -16147 
    1008090  +2           -16845 
    1010490  +2           -17558 
    1012890  +2           -18265 
    1015290  +2           -18945 
    1017690  +2           -19587 
    1020090  +2           -20188 
    1022490  +2           -20751 
    1024890  +2           -21284 
    1027290  +2           -21797 
    1029690  +2           -22295 
    1032090  +2           -22779 
    1034490  +2           -23247 
    1036890  +2           -23697 
    1039290  +2           -24127 
    1041690  +2           -24537 
    1044090  +2           -24926 
    1046490  +2           -25292 
    1048890  +2           -25628 
    1051290  +2           -25921 
    1053690  +2           -26152 
    1056090  +2           -26298 
    1058490  +2           -26339 
    1060890  +2           -26261 
    1063290  +2           -26060 
    1065690  +2           -25743 
    1068090  +2           -25327 
    1070490  +2           -24833 
    1072890  +2           -24283 
    1075290  +2           -23693 
    1077690  +2           -23068 
    1080090  +2           -22406 
    1082490  +2           -21699 
    1084890  +2           -20935 
    1087290  +2           -20109 
    1089690  +2           -19221 
    1092090  +2           -18282 
    1094490  +2           -17312 
    1096890  +2           -16338 
    1099290  +2           -15389 
    1101690  +2           -14491 
    1104090  +2           -13667 
    1106490  +2           -12929 
    1108890  +2           -12279 
    1111290  +2           -11709 
    1113690  +2           -11202 
    1116090  +2           -10739 
    1118490  +2           -10300 
    1120890  +2            -9867 
    1123290  +2            -9426 
    1125690  +2            -8967 
    1128090  +2            -8484 
    1130490  +2            -7976 
    1132890  +2            -7442 
    1135290  +2            -6881 
    1137690  +2            -6291 
    1140090  +2            -5670 
    1142490  +2            -5014 
    1144890  +2            -4320 
    1147290  +2            -3590 
    1149690  +2            -2830 
    1152090  +2            -2050 
    1154490  +2            -1266 
    1156890  +2             -495 
    1159290  +2              246 
    1161690  +2              944 
    1164090  +2             1591 
    1166490  +2             2184 
    1168890  +2             2729 
    1171290  +2             3238 
    1173690  +2             3727 
    1176090  +2             4215 
    1178490  +2             4721 
    1180890  +2             5262 
    1183290  +2             5850 
    1185690  +2             6488 
    1188090  +2             7171 
    1190490  +2             7889 
    1192890  +2             8624 
    1195290  +2             9357 
    1197690  +2            10071 
    1200090  +2            10752 
    1202490  +2            11395 
    1204890  +2            12002 
    1207290  +2            12580 
    1209690  +2            13141 
    1212090  +2            13697 
    1214490  +2            14256 
    1216890  +2            14821 
    1219290  +2            15390 
    1221690  +2            15960 
    1224090  +2            16526 
    1226490  +2            17087 
    1228890  +2            17647 
    1231290  +2            18212 
    1233690  +2            18788 
    1236090  +2            19380 
    1238490  +2            19985 
    1240890  +2            20591 
    1243290  +2            21178 
    1245690  +2            21723 
    1248090  +2            22203 
    1250490  +2            22602 
    1252890  +2            22915 
    1255290  +2            23152 
    1257690  +2            23330 
    1260090  +2            23469 
    1262490  +2            23587 
    1264890  +2            23693 
    1267290  +2            23785 
    1269690  +2            23848 
    1272090  +2            23860 
    1274490  +2            23796 
    1276890  +2            23635 
    1279290  +2            23363 
    1281690  +2            22976 
    1284090  +2            22480 
    1286490  +2            21887 
    1288890  +2            21212 
    1291290  +2            20471 
    1293690  +2            19681 
    1296090  +2            18856 
    1298490  +2            18010 
    1300890  +2            17154 
    1303290  +2            16298 
    1305690  +2            15449 
    1308090  +2            14610 
    1310490  +2            13784 
    1312890  +2            12973 
    1315290  +2            12178 
    1317690  +2            11403 
    1320090  +2            10654 
    1322490  +2             9943 
    1324890  +2             9280 
    1327290  +2             8674 
    1329690  +2             8130 
    1332090  +2             7646 
    1334490  +2             7212 
    1336890  +2             6812 
    1339290  +2             6427 
    1341690  +2             6038 
    1344090  +2             5627 
    1346490  +2             5179 
    1348890  +2             4685 
    1351290  +2             4140 
    1353690  +2             3544 
    1356090  +2             2899 
    1358490  +2             2210 
    1360890  +2             1488 
    1363290  +2              746 
    1365690  +2                0 
    1368090  +2             -734 
    1370490  +2            -1441 
    1372890  +2            -2112 
    1375290  +2            -2744 
